"Search Criteria:"

"Lease Type: Both"
"District: 10"
"Permitted Fluid: Salt Water"
"Injection Type: Disposal into a productive zone (H-1)"

"UIC No.","API No.",District,"Lease No.","Lease Name","Well No.","Field Name","Operator Name",County,Oil/Gas,"Formation Names"
000038248,17900313,10,00279,"SHORT, J. C.",6W,"PANHANDLE GRAY COUNTY FIELD","PRODUCTION MANAGEMENT ASSOCIATIO",GRAY,Oil,
000038249,17983074,10,00606,"SULLIVAN, R.",7W,"PANHANDLE GRAY COUNTY FIELD","CALDWELL PRODUCTION CO. INC.",GRAY,Oil,
000038250,17906405,10,00606,"SULLIVAN, R.",10W,"PANHANDLE GRAY COUNTY FIELD","MAC 5 OPERATING, LLC",GRAY,Oil,
000038251,17983918,10,01566,"THUT, H.",8W,"PANHANDLE GRAY COUNTY FIELD","PRODUCTION MANAGEMENT ASSOCIATIO",GRAY,Oil,
000038252,17981913,10,00383,"ARCHER, W. C.",4W,"PANHANDLE GRAY COUNTY FIELD","RED LINE COMPANY, LTD.",GRAY,Oil,
000038254,17904722,10,00518,"HERBER, ANNA",3D,"PANHANDLE GRAY COUNTY FIELD","SERVICE DRILLING CO.",GRAY,Oil,
000038256,17982274,10,00429,"DAVIS, H. M.",1W,"PANHANDLE GRAY COUNTY FIELD","LLR OPERATING",GRAY,Oil,
000038258,17983112,10,00614,"COMBS-WORLEY -A-",12W,"PANHANDLE GRAY COUNTY FIELD","SCOUT ENERGY MANAGEMENT LLC",GRAY,Oil,
000038259,17983129,10,00617,"COOK, C. C.",4W,"PANHANDLE GRAY COUNTY FIELD","SCOUT ENERGY MANAGEMENT LLC",GRAY,Oil,
000038260,17984357,10,02699,"BROWN DOLOMITE UNIT",103W,"PANHANDLE GRAY COUNTY FIELD","PRUETT, CECIL",GRAY,Oil,
000038261,17984359,10,02699,"BROWN DOLOMITE UNIT",203W,"PANHANDLE GRAY COUNTY FIELD","PRUETT, CECIL",GRAY,Oil,
000038265,17903331,10,02699,"BROWN DOLOMITE UNIT",305W,"PANHANDLE GRAY COUNTY FIELD","KODIAK OPERATING, LLC",GRAY,Oil,
000038266,17903332,10,02699,"BROWN DOLOMITE UNIT",306W,"PANHANDLE GRAY COUNTY FIELD","KODIAK OPERATING, LLC",GRAY,Oil,
000038268,17902577,10,02479,"TAYLOR, W. H., -BE-",6W,"PANHANDLE GRAY COUNTY FIELD",TAYLOR-CLAYTON-HAWLEY,GRAY,Oil,
000038269,17904505,10,00428,"BOWERS -A & C-","A  3","PANHANDLE GRAY COUNTY FIELD","MESA OPERATING LTD PARTNERSHIP",GRAY,Oil,
000038283,17905372,10,00687,COMBS,115W,"PANHANDLE GRAY COUNTY FIELD","MESA OPERATING LTD PARTNERSHIP",GRAY,Oil,
000038306,17981408,10,00268,"DAVIDSON, M. TRUSTEE",5W,"PANHANDLE GRAY COUNTY FIELD","TEXACO INC.",GRAY,Oil,
000038309,17983168,10,00626,"BENEDICT, W.",2W,"PANHANDLE GRAY COUNTY FIELD","TEXACO INC.",GRAY,Oil,
000038310,17983174,10,00626,"BENEDICT, W.",8W,"PANHANDLE GRAY COUNTY FIELD","TEXACO INC.",GRAY,Oil,
000038311,17983175,10,00626,"BENEDICT, W.",9W,"PANHANDLE GRAY COUNTY FIELD","TEXACO INC.",GRAY,Oil,
000038312,17903685,10,00626,"BENEDICT, W.",10W,"PANHANDLE GRAY COUNTY FIELD","PETRO-TEX OPERATING CO.",GRAY,Oil,
000038313,17903686,10,00626,"BENEDICT, W.",11W,"PANHANDLE GRAY COUNTY FIELD","PETRO-TEX OPERATING CO.",GRAY,Oil,
000038314,17983179,10,00626,"BENEDICT, W.",13W,"PANHANDLE GRAY COUNTY FIELD","TEXACO INC.",GRAY,Oil,
000038315,17983180,10,00626,"BENEDICT, W.",14W,"PANHANDLE GRAY COUNTY FIELD","TEXACO INC.",GRAY,Oil,
000038316,17983182,10,00626,"BENEDICT, W.",16W,"PANHANDLE GRAY COUNTY FIELD","TEXACO INC.",GRAY,Oil,
000038317,17903696,10,00626,"BENEDICT, W.",21W,"PANHANDLE GRAY COUNTY FIELD","PETRO-TEX OPERATING CO.",GRAY,Oil,
000038319,17905153,10,00633,"COMBS-WORLEY, NCT-2",8W,"PANHANDLE GRAY COUNTY FIELD","TEXACO E & P INC.",GRAY,Oil,
000038320,17905745,10,00636,"DAVIS, H. M.",1W,"PANHANDLE GRAY COUNTY FIELD","TEXACO INC.",GRAY,Oil,
000038321,17901661,10,00637,"DAVIS, M. B.",34,"PANHANDLE GRAY COUNTY FIELD","TEXACO E & P INC.",GRAY,Oil,
000038322,17983241,10,00637,"DAVIS, M. B.",36W,"PANHANDLE GRAY COUNTY FIELD","TEXACO INC.",GRAY,Oil,
000038323,17983250,10,00638,"FAULKNER, S.",5W,"PANHANDLE GRAY COUNTY FIELD","XTO ENERGY INC.",GRAY,Oil,
000038324,17907229,10,00639,"FRASHIER, O. N.",5W,"PANHANDLE GRAY COUNTY FIELD","TEXACO INC.",GRAY,Oil,
000038327,17905791,10,00642,"HOLMES, A. (GRYPHON)",2W,"PANHANDLE GRAY COUNTY FIELD","TEXACO INC.",GRAY,Oil,
000038335,17983311,10,00644,"KEY, E.",3W,"PANHANDLE GRAY COUNTY FIELD","TEXACO INC.",GRAY,Oil,
000038336,17983312,10,00644,"KEY, E.",4W,"PANHANDLE GRAY COUNTY FIELD","TEXACO INC.",GRAY,Oil,
000038338,17983329,10,00644,"KEY, E.",22W,"PANHANDLE GRAY COUNTY FIELD","TEXACO INC.",GRAY,Oil,
000038340,17983343,10,00645,"MAYBERRY, R. C.",19W,"PANHANDLE GRAY COUNTY FIELD","LEJAN, INC.",GRAY,Oil,
000038341,17983344,10,00645,"MAYBERRY, R. C.",20W,"PANHANDLE GRAY COUNTY FIELD","LEJAN, INC.",GRAY,Oil,
000038343,17983362,10,00650,"SAUNDERS, G. H.",28W,"PANHANDLE GRAY COUNTY FIELD","TEXACO INC.",GRAY,Oil,
000038344,17983371,10,00650,"SAUNDERS, G. H.",37W,"PANHANDLE GRAY COUNTY FIELD","TEXACO INC.",GRAY,Oil,
000038345,17983374,10,00650,"SAUNDERS, G. H.",40W,"PANHANDLE GRAY COUNTY FIELD","TEXACO INC.",GRAY,Oil,
000038346,17983375,10,00650,"SAUNDERS, G. H.",41W,"PANHANDLE GRAY COUNTY FIELD","TEXACO INC.",GRAY,Oil,
000038347,17983376,10,00650,"SAUNDERS, G. H.",42W,"PANHANDLE GRAY COUNTY FIELD","TEXACO INC.",GRAY,Oil,
000038348,17983391,10,00650,"SAUNDERS, G. H.",59W,"PANHANDLE GRAY COUNTY FIELD","TEXACO INC.",GRAY,Oil,
000038349,17983392,10,00650,"SAUNDERS, G. H.",61W,"PANHANDLE GRAY COUNTY FIELD","TEXACO INC.",GRAY,Oil,
000038350,17901156,10,00650,"SAUNDERS, G. H.",64W,"PANHANDLE GRAY COUNTY FIELD","CHEVRON U. S. A. INC.",GRAY,Oil,
000038351,17983395,10,00650,"SAUNDERS, G. H.",65W,"PANHANDLE GRAY COUNTY FIELD","TEXACO PRODUCING INC.",GRAY,Oil,
000038352,17901159,10,00650,"SAUNDERS, G. H.",67W,"PANHANDLE GRAY COUNTY FIELD","TEXACO PRODUCING INC.",GRAY,Oil,
000038353,17983399,10,00650,"SAUNDERS, G. H.",71W,"PANHANDLE GRAY COUNTY FIELD","XTO ENERGY INC.",GRAY,Oil,
000038354,17983401,10,00650,"SAUNDERS, G. H.",73W,"PANHANDLE GRAY COUNTY FIELD","TEXACO PRODUCING INC.",GRAY,Oil,
000038355,17983404,10,00650,"SAUNDERS, G. H.",76W,"PANHANDLE GRAY COUNTY FIELD","TEXACO PRODUCING INC.",GRAY,Oil,
000038356,17983405,10,00650,"SAUNDERS, G. H.",77W,"PANHANDLE GRAY COUNTY FIELD","TEXACO PRODUCING INC.",GRAY,Oil,
000038357,17901167,10,00650,"SAUNDERS, G. H.",78W,"PANHANDLE GRAY COUNTY FIELD","XTO ENERGY INC.",GRAY,Oil,
000038358,17983409,10,00650,"SAUNDERS, G. H.",81W,"PANHANDLE GRAY COUNTY FIELD","TEXACO PRODUCING INC.",GRAY,Oil,
000038359,17983410,10,00650,"SAUNDERS, G. H.",83W,"PANHANDLE GRAY COUNTY FIELD","TEXACO PRODUCING INC.",GRAY,Oil,
000038360,17983412,10,00650,"SAUNDERS, G. H.",85W,"PANHANDLE GRAY COUNTY FIELD","TEXACO PRODUCING INC.",GRAY,Oil,
000038361,17983417,10,00650,"SAUNDERS, G. H.",92W,"PANHANDLE GRAY COUNTY FIELD","TEXACO PRODUCING INC.",GRAY,Oil,
000038362,17983425,10,00650,"SAUNDERS, G. H.",103W,"PANHANDLE GRAY COUNTY FIELD","TEXACO PRODUCING INC.",GRAY,Oil,
000038363,17983427,10,00650,"SAUNDERS, G. H.",105W,"PANHANDLE GRAY COUNTY FIELD","TEXACO PRODUCING INC.",GRAY,Oil,
000038364,17983430,10,00650,"SAUNDERS, G. H.",119W,"PANHANDLE GRAY COUNTY FIELD","TEXACO PRODUCING INC.",GRAY,Oil,
000038365,17983435,10,00652,"SHORT, J. C.",1W,"PANHANDLE GRAY COUNTY FIELD","TEXACO INC.",GRAY,Oil,
000038367,17902334,10,00652,"SHORT, J. C.",7W,"PANHANDLE GRAY COUNTY FIELD","LEJAN, INC.",GRAY,Oil,"BROWN DOLOMITE"
000038368,17902336,10,00652,"SHORT, J. C.",9W,"PANHANDLE GRAY COUNTY FIELD","LEJAN, INC.",GRAY,Oil,
000038369,17983444,10,00652,"SHORT, J. C.",10W,"PANHANDLE GRAY COUNTY FIELD","LEJAN, INC.",GRAY,Oil,
000038370,17983445,10,00652,"SHORT, J. C.",11W,"PANHANDLE GRAY COUNTY FIELD","LEJAN, INC.",GRAY,Oil,
000038371,17983450,10,00652,"SHORT, J. C.",16W,"PANHANDLE GRAY COUNTY FIELD","LEJAN, INC.",GRAY,Oil,
000038372,17983453,10,00652,"SHORT, J. C.",19W,"PANHANDLE GRAY COUNTY FIELD","LEJAN, INC.",GRAY,Oil,
000038373,17983454,10,00652,"SHORT, J. C.",20W,"PANHANDLE GRAY COUNTY FIELD","LEJAN, INC.",GRAY,Oil,
000038374,23531676,10,00652,"SHORT, J. C.",21W,"PANHANDLE GRAY COUNTY FIELD","LEJAN, INC.",IRION,Oil,
000038375,17983458,10,00652,"SHORT, J. C.",25W,"PANHANDLE GRAY COUNTY FIELD","LEJAN, INC.",GRAY,Oil,
000038376,17983459,10,00652,"SHORT, J. C.",26W,"PANHANDLE GRAY COUNTY FIELD","LEJAN, INC.",GRAY,Oil,
000038378,17900588,10,00656,"WRIGHT, J. E.",10,"PANHANDLE GRAY COUNTY FIELD","XTO ENERGY INC.",GRAY,Oil,
000038379,17983559,10,00678,"HOPKINS, MAGGIE",2W,"PANHANDLE GRAY COUNTY FIELD","TEXACO INC.",GRAY,Oil,
000038380,17983838,10,01532,"CHAPMAN, A. -A- NCT-1",50W,"PANHANDLE GRAY COUNTY FIELD","TEXACO INC.",GRAY,Oil,
000038386,17902724,10,01536,"GETHING, E. E. NCT-2",11W,"PANHANDLE GRAY COUNTY FIELD","TEXACO E & P INC.",GRAY,Oil,
000038387,17903551,10,02686,"CHAPMAN A. -B- NCT-3",6W,"PANHANDLE GRAY COUNTY FIELD","DIAMOND S ENERGY COMPANY",GRAY,Oil,
000038388,17984347,10,02686,"CHAPMAN A. -B- NCT-3",12W,"PANHANDLE GRAY COUNTY FIELD","TEXACO INC.",GRAY,Oil,
000038390,17903987,10,02749,"DAVIDSON, M., NCT-1",13W,"PANHANDLE GRAY COUNTY FIELD","TEXACO INC.",GRAY,Oil,
000038391,17985085,10,03269,"BOWERS, J. B., NCT-1",11D,"PANHANDLE GRAY COUNTY FIELD","TEXACO E & P INC.",GRAY,Oil,
000038392,17930072,10,03696,"CARROLL, J. C.",3D,"PANHANDLE GRAY COUNTY FIELD","TREJIM OPERATORS, LLC",GRAY,Oil,
000038393,17982794,10,00558,"WEBB -A- BATTERY #1",21D,"PANHANDLE GRAY COUNTY FIELD","R L TIGRETT & J L ROMINES, LP",GRAY,Oil,
000038394,17982795,10,00558,"WEBB -A- BATTERY #1",22D,"PANHANDLE GRAY COUNTY FIELD","R L TIGRETT & J L ROMINES, LP",GRAY,Oil,
000038395,17982124,10,00401,"HAYNES ""B""",1D,"PANHANDLE GRAY COUNTY FIELD","TRAVELERS OIL COMPANY",GRAY,Oil,
000038397,17905873,10,00608,"FINLEY, B. E.",7W,"PANHANDLE GRAY COUNTY FIELD","HELTON, PAT WELL SERVICE, INC.",GRAY,Oil,
000038409,17983533,10,00668,CHAPMAN,1W,"PANHANDLE GRAY COUNTY FIELD","PONDEROSA TX OPERATING LLC",GRAY,Oil,
000038411,17906870,10,00568,"ARCHER, W. C.",1W,"PANHANDLE GRAY COUNTY FIELD","EXXCEL PRODUCTION COMPANY",GRAY,Oil,
000038414,17906513,10,00572,"VAUGHN, M.",2W,"PANHANDLE GRAY COUNTY FIELD","SCOUT ENERGY MANAGEMENT LLC",GRAY,Oil,
000038417,17930343,10,04196,HIEDI,1WT,"PANHANDLE GRAY COUNTY FIELD","CLAY PETROLEUM",GRAY,Oil,
000038421,23380792,10,00707,HEDGECOKE-WHITTENBURG,25W,"PANHANDLE HUTCHINSON COUNTY FLD.","PG-M INTERNATIONAL OPERATING,LLC",HUTCHINSON,Oil,
000038426,23383412,10,01223,"HAILE, W. B. -B-",22W,"PANHANDLE HUTCHINSON COUNTY FLD.","OMNI EXPLORATION, INC.",HUTCHINSON,Oil,
000038428,23307887,10,01228,"MOORE, E. J.",1W,"PANHANDLE HUTCHINSON COUNTY FLD.","OMNI EXPLORATION, INC.",HUTCHINSON,Oil,
000038429,23383425,10,01228,"MOORE, E. J.",6W,"PANHANDLE HUTCHINSON COUNTY FLD.","OMNI EXPLORATION, INC.",HUTCHINSON,Oil,
000038430,23383427,10,01228,"MOORE, E. J.",8W,"PANHANDLE HUTCHINSON COUNTY FLD.","OMNI EXPLORATION, INC.",HUTCHINSON,Oil,
000038431,23383431,10,01228,"MOORE, E. J.",12W,"PANHANDLE HUTCHINSON COUNTY FLD.","OMNI EXPLORATION, INC.",HUTCHINSON,Oil,
000038432,23383432,10,01228,"MOORE, E. J.",13W,"PANHANDLE HUTCHINSON COUNTY FLD.","OMNI EXPLORATION, INC.",HUTCHINSON,Oil,
000038440,23305640,10,01233,"TERRY, H. B.",26,"PANHANDLE HUTCHINSON COUNTY FLD.","OMNI EXPLORATION, INC.",HUTCHINSON,Oil,
000038441,23311703,10,01234,"WARE, R. C. -A-",9W,"PANHANDLE HUTCHINSON COUNTY FLD.","VRK OIL AND GAS, INC.",HUTCHINSON,Oil,
000038450,23383549,10,01238,"WATKINS, E. E. -A- R/A -B-",9W,"PANHANDLE HUTCHINSON COUNTY FLD.","VRK OIL AND GAS, INC.",HUTCHINSON,Oil,
000038451,23309816,10,01238,"WATKINS, E. E. -A- R/A -B-",11W,"PANHANDLE HUTCHINSON COUNTY FLD.","SANABI OIL COMPANY",HUTCHINSON,Oil,
000038457,23384364,10,01705,"LOGAN ""B""",5W,"PANHANDLE HUTCHINSON COUNTY FLD.","MIKRON OIL & GAS",HUTCHINSON,Oil,
000038458,23305358,10,01183,"COCKRELL, ELLIS",3D,"PANHANDLE HUTCHINSON COUNTY FLD.","GILLROCK OIL COMPANY",HUTCHINSON,Oil,
000038459,23304537,10,01184,"HARRISON, HENRY",4,"PANHANDLE HUTCHINSON COUNTY FLD.","LYCO ENERGY CORPORATION",HUTCHINSON,Oil,
000038460,23307169,10,01187,"JOHNSON RANCH -A-",61W,"PANHANDLE HUTCHINSON COUNTY FLD.","LYCO ENERGY CORPORATION",HUTCHINSON,Oil,
000038461,23304097,10,01187,"JOHNSON RANCH -A-",75W,"PANHANDLE HUTCHINSON COUNTY FLD.","MOMENTUM OPERATING CO., INC.",HUTCHINSON,Oil,
000038462,23383183,10,01190,"JOHNSON RANCH -L-",4W,"PANHANDLE HUTCHINSON COUNTY FLD.","LYCO ENERGY CORPORATION",HUTCHINSON,Oil,
000038463,23304110,10,01194,"WEATHERLY, MAGGIE",19D,"PANHANDLE HUTCHINSON COUNTY FLD.","LOSURE, KEN",HUTCHINSON,Oil,
000038464,23382974,10,01145,"DUNAWAY, C. E.",1W,"PANHANDLE HUTCHINSON COUNTY FLD.","W.B.D. OIL AND GAS INC.",HUTCHINSON,Oil,
000038465,23311858,10,01546,DEAL,3D,"PANHANDLE HUTCHINSON COUNTY FLD.","PG-M INTERNATIONAL OPERATING,LLC",HUTCHINSON,Oil,
000038467,23304508,10,00724,"JOHNSON, JACK -B-",17W,"PANHANDLE HUTCHINSON COUNTY FLD.","CAL-T OIL COMPANY, INCORPORATED",HUTCHINSON,Oil,
000038468,23380422,10,00728,"CARVER, H. W.",1D,"PANHANDLE HUTCHINSON COUNTY FLD.","SCOUT ENERGY MANAGEMENT LLC",HUTCHINSON,Oil,
000038469,23305873,10,00729,"CARVER AREA WATERFLOOD UNIT #2",8W,"PANHANDLE HUTCHINSON COUNTY FLD.","CAL-T OIL COMPANY",HUTCHINSON,Oil,
000038470,23311839,10,00729,"CARVER AREA WATERFLOOD UNIT #2",11W,"PANHANDLE HUTCHINSON COUNTY FLD.","LINN OPERATING, INC.",HUTCHINSON,Oil,
000038471,23382242,10,00976,HARRINGTON,7W,"PANHANDLE HUTCHINSON COUNTY FLD.","CAL-T OIL COMPANY",HUTCHINSON,Oil,
000038472,23382817,10,01114,"CARVER B-C-D",2W,"PANHANDLE HUTCHINSON COUNTY FLD.","CAL-T OIL COMPANY",HUTCHINSON,Oil,
000038473,23382980,10,01146,"JOHNSON, E. B.",2D,"PANHANDLE HUTCHINSON COUNTY FLD.","CAL-T OIL COMPANY",HUTCHINSON,Oil,
000038475,23301577,10,01557,"PRITCHARD, J. E.",1W,"PANHANDLE HUTCHINSON COUNTY FLD.","SCOUT ENERGY MANAGEMENT LLC",HUTCHINSON,Oil,
000038476,23385126,10,02712,"CARVER AREA WATERFLOOD UT. #1",17W,"PANHANDLE HUTCHINSON COUNTY FLD.","CAL-T OIL COMPANY",HUTCHINSON,Oil,
000038480,23313032,10,01317,KINGSLAND,"A  3W","PANHANDLE HUTCHINSON COUNTY FLD.","WO OPERATING COMPANY",HUTCHINSON,Oil,
000038481,23384043,10,01307,"COCKRELL -F-",7W,"PANHANDLE HUTCHINSON COUNTY FLD.","LARGE OPERATING LLC",HUTCHINSON,Oil,
000038482,23311690,10,01310,"COCKRELL -J-",9W,"PANHANDLE HUTCHINSON COUNTY FLD.","HUGOTON ENERGY CORPORATION",HUTCHINSON,Oil,
000038483,23300619,10,01314,COCKRELL-GULF,13W,"PANHANDLE HUTCHINSON COUNTY FLD.","TRYMA OPERATING",HUTCHINSON,Oil,
000038484,23313716,10,00844,STEWART,5D,"PANHANDLE HUTCHINSON COUNTY FLD.","PONY OIL COMPANY",HUTCHINSON,Oil,
000038486,23382859,10,01126,"PERKINS, J. J. ETAL",12W,"PANHANDLE HUTCHINSON COUNTY FLD.","DOUGHTEN OIL & GAS",HUTCHINSON,Oil,
000038487,23307957,10,01983,"BURNETT -L-",2W,"PANHANDLE HUTCHINSON COUNTY FLD.","CODY COMPANY",HUTCHINSON,Oil,
000038489,23301933,10,00848,KNUDSEN,16W,"PANHANDLE HUTCHINSON COUNTY FLD.","SCOUT ENERGY MANAGEMENT LLC",HUTCHINSON,Oil,DOLOMITE
000038490,23310926,10,00851,DAVENPORT,2W,"PANHANDLE HUTCHINSON COUNTY FLD.","DANDEN PETROLEUM, INC.",HUTCHINSON,Oil,
000038491,23380910,10,00747,"MOORE, J. W. ESTATE -C-",4W,"PANHANDLE HUTCHINSON COUNTY FLD.","DEMINEX U. S. OIL CO.",HUTCHINSON,Oil,
000038494,23380917,10,00748,"MOORE, J. W. ESTATE -D-",1W,"PANHANDLE HUTCHINSON COUNTY FLD.","RED LINE COMPANY, LTD.",HUTCHINSON,Oil,
000038497,23306993,10,00971,MCCARTY,12W,"PANHANDLE HUTCHINSON COUNTY FLD.","BRANDY OPERATING, LLC",HUTCHINSON,Oil,
000038498,23382987,10,01148,BARNHILL,10D,"PANHANDLE HUTCHINSON COUNTY FLD.","DIAMOND SHAMROCK EXPLORATION CO.",HUTCHINSON,Oil,
000038499,23301919,10,01158,LOGAN,17D,"PANHANDLE HUTCHINSON COUNTY FLD.","DIAMOND SHAMROCK EXPLORATION CO.",HUTCHINSON,Oil,
000038500,23301548,10,01160,LOGAN-DUNIGAN,15D,"PANHANDLE HUTCHINSON COUNTY FLD.","A2R RESOURCES, LLC",HUTCHINSON,Oil,
000038501,23301603,10,01161,LUCAS,16D,"PANHANDLE HUTCHINSON COUNTY FLD.","SCOUT ENERGY MANAGEMENT LLC",HUTCHINSON,Oil,
000038502,23383045,10,01163,MCDOWELL,6D,"PANHANDLE HUTCHINSON COUNTY FLD.","SCOUT ENERGY MANAGEMENT LLC",HUTCHINSON,Oil,
000038504,23383082,10,01170,"PRITCHARD, SALLIE -A-",9D,"PANHANDLE HUTCHINSON COUNTY FLD.","LOSURE, KEN",HUTCHINSON,Oil,
000038506,23383099,10,01173,STEWART,23D,"PANHANDLE HUTCHINSON COUNTY FLD.","SCOUT ENERGY MANAGEMENT LLC",HUTCHINSON,Oil,
000038507,23383104,10,01173,STEWART,32D,"PANHANDLE HUTCHINSON COUNTY FLD.","POGO PANHANDLE 2004, L.P.",HUTCHINSON,Oil,
000038509,23301472,10,00723,SMITH,5D,"PANHANDLE HUTCHINSON COUNTY FLD.","DYNE OIL & GAS,INC.",HUTCHINSON,Oil,
000038510,23382002,10,00925,MOLLIE,4W,"PANHANDLE HUTCHINSON COUNTY FLD.","DYNE OIL & GAS,INC.",HUTCHINSON,Oil,
000038511,23330083,10,00952,TRACT,1W,"PANHANDLE HUTCHINSON COUNTY FLD.","DYNE OIL & GAS,INC.",HUTCHINSON,Oil,
000038512,23310644,10,00981,OATES,9D,"PANHANDLE HUTCHINSON COUNTY FLD.","DYNE OIL & GAS,INC.",HUTCHINSON,Oil,
000038513,23382251,10,00981,OATES,10D,"PANHANDLE HUTCHINSON COUNTY FLD.","KODIAK OPERATING, LLC",HUTCHINSON,Oil,
000038514,23382359,10,01017,SKIATEX,9W,"PANHANDLE HUTCHINSON COUNTY FLD.","DYNE OIL & GAS,INC.",HUTCHINSON,Oil,
000038515,23313066,10,01180,"LUGINBYHL -B-",2W,"PANHANDLE HUTCHINSON COUNTY FLD.","DYNE OIL & GAS,INC.",HUTCHINSON,Oil,
000038516,23300317,10,01688,HERRING,4W,"PANHANDLE HUTCHINSON COUNTY FLD.","HARCO OPERATING",HUTCHINSON,Oil,
000038518,23382841,10,01124,"WEATHERLY, J. F., EST.",12W,"PANHANDLE HUTCHINSON COUNTY FLD.","BHI ENERGY CORPORATION",HUTCHINSON,Oil,
000038524,23382135,10,00959,PITCHER,"B  3W","PANHANDLE HUTCHINSON COUNTY FLD.","FORA COMPANY",HUTCHINSON,Oil,
000038525,23384367,10,01728,"BURNETT -A-",1W,"PANHANDLE HUTCHINSON COUNTY FLD.","NORTHERN OIL AND GAS, INC.",HUTCHINSON,Oil,
000038526,23385299,10,03091,COCKRELL,8W,"PANHANDLE HUTCHINSON COUNTY FLD.","DAWN OIL & GAS OPERATORS INC.",HUTCHINSON,Oil,
000038527,23305276,10,03769,"COCKRELL, ELLIS -D-",1W,"PANHANDLE HUTCHINSON COUNTY FLD.","NORTHERN OIL AND GAS, INC.",HUTCHINSON,Oil,
000038528,23384214,10,01590,HUBER-PRITCHARD,1W,"PANHANDLE HUTCHINSON COUNTY FLD.","MISTEX PETROLEUM",HUTCHINSON,Oil,
000038530,23304521,10,01669,"HUBER-RILEY -I-",2W,"PANHANDLE HUTCHINSON COUNTY FLD.","MISTEX PETROLEUM",HUTCHINSON,Oil,
000038531,23384371,10,01743,HUBER-HARRISON,1W,"PANHANDLE HUTCHINSON COUNTY FLD.","HUBER, J. M., CORPORATION",HUTCHINSON,Oil,
000038532,23383222,10,01197,"CROSBY & HATCHER -A-",1W,"PANHANDLE HUTCHINSON COUNTY FLD.","TEXACO INC.",HUTCHINSON,Oil,
000038533,23300282,10,01199,"HERRING -A-",57W,"PANHANDLE HUTCHINSON COUNTY FLD.","HUBER, J. M., CORPORATION",HUTCHINSON,Oil,
000038538,23383308,10,01204,"WHITTENBURG, J. A.",1W,"PANHANDLE HUTCHINSON COUNTY FLD.","TEXACO PRODUCING INC.",HUTCHINSON,Oil,
000038540,23385362,10,03321,"BROWN B",3D,"PANHANDLE HUTCHINSON COUNTY FLD.","LUXOR OIL & GAS, INC.",HUTCHINSON,Oil,
000038541,23313334,10,02647,WEATHERLY-DEAHL,1D,"PANHANDLE HUTCHINSON COUNTY FLD.","GUINN, G. P., INC",HUTCHINSON,Oil,
000038542,23308470,10,02647,WEATHERLY-DEAHL,3D,"PANHANDLE HUTCHINSON COUNTY FLD.","NEXOIL, LLC",HUTCHINSON,Oil,
000038543,23380954,10,00759,"HAILE -D-",8W,"PANHANDLE HUTCHINSON COUNTY FLD.","POLARIS OPERATING, LLC",HUTCHINSON,Oil,"BROWN DOLOMITE"
000038546,23381149,10,00794,"DIAL, C. L., ETAL",154W,"PANHANDLE HUTCHINSON COUNTY FLD.","CHEVRON U. S. A. INC.",HUTCHINSON,Oil,
000038547,23381153,10,00794,"DIAL, C. L., ETAL",160W,"PANHANDLE HUTCHINSON COUNTY FLD.","SNW OPERATING COMPANY",HUTCHINSON,Oil,
000038548,23381157,10,00794,"DIAL, C. L., ETAL",165D,"PANHANDLE HUTCHINSON COUNTY FLD.","SNW OPERATING COMPANY",HUTCHINSON,Oil,
000038549,23381177,10,00794,"DIAL, C. L., ETAL",189D,"PANHANDLE HUTCHINSON COUNTY FLD.","SNW OPERATING COMPANY",HUTCHINSON,Oil,
000038550,23306743,10,00794,"DIAL, C. L., ETAL",192W,"PANHANDLE HUTCHINSON COUNTY FLD.","PG-M INTERNATIONAL OPERATING,LLC",HUTCHINSON,Oil,
000038553,23305774,10,00800,"WHITTENBURG, J. A. -B-",13W,"PANHANDLE HUTCHINSON COUNTY FLD.","ENERGY 2000, INC.",HUTCHINSON,Oil,
000038554,23301005,10,00800,"WHITTENBURG, J. A. -B-",21W,"PANHANDLE HUTCHINSON COUNTY FLD.","SNW OPERATING COMPANY",HUTCHINSON,Oil,
000038557,23381414,10,00842,NEWBLOCK-LANGDON,1W,"PANHANDLE HUTCHINSON COUNTY FLD.","CHEVRON U. S. A. INC.",HUTCHINSON,Oil,
000038558,23381870,10,00906,BADGER,15W,"PANHANDLE HUTCHINSON COUNTY FLD.","GULF OIL CORP.",HUTCHINSON,Oil,
000038559,23305514,10,00906,BADGER,16W,"PANHANDLE HUTCHINSON COUNTY FLD.","ADOBE OPERATING COMPANY",HUTCHINSON,Oil,
000038560,23381885,10,00906,BADGER,39W,"PANHANDLE HUTCHINSON COUNTY FLD.","ADOBE OPERATING, INC.",HUTCHINSON,Oil,
000038561,23304941,10,00906,BADGER,50W,"PANHANDLE HUTCHINSON COUNTY FLD.","O. H. M. OPERATING",HUTCHINSON,Oil,
000038564,23305472,10,00907,"HAILE -F-",10W,"PANHANDLE HUTCHINSON COUNTY FLD.","SUOCO OIL CORP.",HUTCHINSON,Oil,
000038568,23303933,10,00910,TIMMS,3W,"PANHANDLE HUTCHINSON COUNTY FLD.","CHEVRON U. S. A. INC.",HUTCHINSON,Oil,
000038569,23313690,10,01218,"HAILE -E-",11W,"PANHANDLE HUTCHINSON COUNTY FLD.","SUOCO OIL CORP.",HUTCHINSON,Oil,
